medcodeid	cleansedreadcode	term	ethnicity
285960016	9SA2.00	brit. ethnic minor. unsp (nmo)	1
157351000000115	9iF5.00	hindu - ethnic category 2001 census	1
6270391000006119	^ESCTET627039	ethnic groups (1991 census) (united kingdom)	1
2484511000000112	9t0..00	ethnic category - 2011 census england and wales	1
2484551000000111	9t1..00	ethnic category - 2011 census northern ireland	1
253628018	226..11	o/e - ethnic origin	1
286006015	9T1..00	new zealand ethnic groups	1
649261000006110	9S...00	ethnic groups (census)	1
286003011	9SZ..00	ethnic groups (census) nos	1
141421000000114	9iG..00	ethnic category not stated - 2001 census	1
6591911000006117	^ESCTET659191	ethnic groups	1
2484471000000115	9t...00	ethnic category - 2011 census	1
6591901000006115	^ESCTET659190	ethnicity	1
6270381000006117	^ESCTET627038	ethnic groups (1991 census) (uk)	1
141291000000111	9i...00	ethnic category - 2001 census	1
4740421000006111	^ESCTET474042	ethnicity / related nationality data	1
253627011	226..00	o/e - ethnic group	1
2484591000000115	9t2..00	ethnic category - 2011 census scotland	1
456651012	9SD..00	ethnic group not given - patient refused	1
456652017	9SE..00	ethnic group not recorded	1
253635014	226Z.00	o/e - ethnic group nos	1
286005016	9T...00	ethnicity and other related nationality data	1
6364801000006112	^ESCTET636480	ethnic category	1
